##[["GX taxonomy analysis report", 3, 1], {"git-rev": "v0.5.4-5-g5dfd516", "run-date": "Thu Oct 24 15:34:01 2024", "db": {"build-date": "2023-01-24", "seqs": 3025824, "Gbp": 709.264}, "run-info": {"agg-cvg": 0.273788, "asserted-div": "anml:insects", "inferred-primary-divs": ["anml:insects"], "corrected-primary-divs": ["anml:insects"], "species": "Onthophagus binodis", "genome-hash": "b8dd53a4ef8ac208"}}]
#seq-id	seq-len	(xp,lc,co,n,mt,pt,pm)-len	cvg-by-all	sep1	tax-name-1	tax-id-1	div-1	cvg-by-div-1	cvg-by-tax-1	score-1	sep2	tax-id-2	div-2	cvg-by-div-2	cvg-by-tax-2	score-2	sep3	tax-id-3	div-3	cvg-by-div-3	cvg-by-tax-3	score-3	sep4	tax-id-4	div-4	cvg-by-div-4	cvg-by-tax-4	score-4	sep5	reserved	result	div	div_pct_cvg
ptg000002l~~13749562..13751691	2130	180,0,0,0,0,0,0	1385	|	Arachis hypogaea	3818	plnt:plants	1385	1385	44	|	7048	anml:insects	40	26	5	|	2921223	anml:insects	40	14	4	|						|	n/a	inconclusive	plnt:plants	65
ptg000002l~~13751692..15258360	1506669	591330,2839,120,0,0,0,0	461835	|	Onthophagus taurus	166361	anml:insects	413882	297143	1494	|	609295	anml:insects	413882	6142	275	|	94885	anml:reptiles	15761	8200	191	|	6087	anml:basal metazoans	11725	10440	160	|	n/a	repeat	anml:insects	27
ptg000002l~~15258361..15260918	2558	0,0,0,0,0,0,0	2138	|	Encephalitozoon cuniculi	284813	fung:microsporidians	2138	2041	94	|	907965	fung:microsporidians	2138	1852	85	|						|						|	n/a	contaminant(div)	fung:microsporidians	84
ptg000002l~~15260919..21826617	6565699	2610174,17091,6140,0,0,0,0	1965180	|	Onthophagus taurus	166361	anml:insects	1713567	1279971	3483	|	217634	anml:insects	1713567	58111	475	|	27687	anml:fishes	63604	20203	304	|	96803	anml:crustaceans	38351	9513	167	|	n/a	repeat	anml:insects	26
ptg000002l~~21826618..21828823	2206	0,0,0,0,0,0,0	2054	|	Eriocheir sinensis	95602	anml:crustaceans	963	963	38	|	72917	plnt:plants	1163	559	31	|	253017	plnt:plants	1163	651	28	|	2559892	anml:nematodes	432	432	25	|	n/a	inconclusive	anml:crustaceans	44
ptg000002l~~21828824..23296708	1467885	533485,3379,2180,0,0,0,0	470003	|	Onthophagus taurus	166361	anml:insects	414981	309591	1779	|	743375	anml:insects	414981	10627	365	|	6248	anml:nematodes	9899	6084	123	|	6549	anml:molluscs	13148	4653	83	|	n/a	repeat	anml:insects	28
ptg000002l~~23296709..23298865	2157	0,0,0,0,0,0,0	1688	|	Erpetoichthys calabaricus	27687	anml:fishes	1648	1648	88	|	224129	anml:insects	71	71	8	|						|						|	n/a	inconclusive	anml:fishes	76
ptg000002l~~23298866..24431052	1132187	436890,1148,0,0,0,0,0	351239	|	Onthophagus taurus	166361	anml:insects	317024	231665	1263	|	224129	anml:insects	317024	7073	314	|	51298	anml:mammals	6505	6028	160	|	13616	anml:marsupials	5985	5493	107	|	n/a	repeat	anml:insects	28
ptg000002l~~24431053..24434308	3256	0,0,580,0,0,0,0	2417	|	Nematostella vectensis	45351	anml:basal metazoans	1315	1247	41	|	7994	anml:fishes	1710	1168	37	|	95602	anml:crustaceans	954	911	34	|	43968	fung:budding yeasts	755	755	33	|	n/a	low-coverage	anml:basal metazoans	40
ptg000002l~~24434309..25642353	1208045	411992,1723,3100,0,0,0,0	393132	|	Onthophagus taurus	166361	anml:insects	333049	232709	1343	|	217634	anml:insects	333049	28714	304	|	260995	anml:amphibians	9942	9571	124	|	80427	anml:reptiles	3485	3485	111	|	n/a	repeat	anml:insects	28
ptg000002l~~25642354..25645820	3467	875,0,0,0,0,0,0	2314	|	Encephalitozoon hellem	907965	fung:microsporidians	2314	2135	85	|	1178016	fung:microsporidians	2314	2098	82	|	7217	anml:insects	178	178	12	|	2950585	anml:nematodes	39	39	6	|	n/a	contaminant(div)	fung:microsporidians	67
ptg000002l~~25645821..29071890	3426070	1406376,7213,2640,0,0,0,0	1019829	|	Onthophagus taurus	166361	anml:insects	843189	631061	2576	|	7048	anml:insects	843189	27628	295	|	2954006	prok:a-proteobacteria	23054	9503	189	|	1220511	prok:a-proteobacteria	23054	6622	172	|	n/a	repeat	anml:insects	25
ptg000002l~~29071891..29074014	2124	209,0,0,0,0,0,0	1535	|	Niebla homalea	643219	fung:ascomycetes	1176	1176	39	|	6565	anml:molluscs	307	307	20	|	1329262	prok:firmicutes	95	95	11	|						|	n/a	inconclusive	fung:ascomycetes	55
ptg000002l~~29074015..33354051	4280037	1547084,9451,11400,0,0,0,0	1451693	|	Onthophagus taurus	166361	anml:insects	1288824	956526	3508	|	170555	anml:insects	1288824	25839	542	|	27687	anml:fishes	32922	17083	251	|	94885	anml:reptiles	21831	7673	232	|	n/a	repeat	anml:insects	30
ptg000002l~~33354052..33356470	2419	105,0,0,0,0,0,0	1490	|	Arachis hypogaea	3818	plnt:plants	1212	1212	41	|	6579	anml:molluscs	371	371	22	|	166361	anml:insects	104	104	10	|						|	n/a	inconclusive	plnt:plants	50
ptg000002l~~33356471..35642695	2286225	783659,6020,4960,0,0,0,0	728709	|	Onthophagus taurus	166361	anml:insects	626658	457981	2776	|	7070	anml:insects	626658	34570	354	|	27687	anml:fishes	23909	4774	139	|	291302	anml:mammals	14452	5674	131	|	n/a	repeat	anml:insects	27
ptg000002l~~35642696..35644910	2215	0,0,0,0,0,0,0	2096	|	Onthophagus taurus	166361	anml:insects	945	830	97	|	260995	anml:amphibians	1345	1345	43	|	41895	anml:insects	945	157	12	|						|	n/a	low-coverage	anml:insects	43
ptg000002l~~35644911..35803130	158220	49354,0,0,0,0,0,0	49854	|	Onthophagus taurus	166361	anml:insects	41571	29550	608	|	41139	anml:insects	41571	4996	109	|	96803	anml:crustaceans	3584	3067	79	|	458696	plnt:plants	4116	2625	57	|	n/a	low-coverage	anml:insects	26
ptg000002l~~35803131..35805688	2558	102,0,0,0,0,0,0	2102	|	Echinops telfairi	9371	anml:mammals	1602	1602	109	|	125878	anml:amphibians	1832	1747	90	|	8407	anml:amphibians	1832	1602	78	|	166361	anml:insects	242	242	18	|	n/a	inconclusive	anml:mammals	63
ptg000002l~~35805689..38022590	2216902	760061,5262,1200,0,0,0,0	691186	|	Onthophagus taurus	166361	anml:insects	604149	450004	2940	|	609295	anml:insects	604149	10484	376	|	34573	anml:molluscs	22459	7783	130	|	51298	anml:mammals	11884	3948	106	|	n/a	repeat	anml:insects	27
ptg000002l~~38022591..38024795	2205	646,0,0,0,0,0,0	1949	|	Symbiodinium kawagutii	104179	prst:alveolates	1293	1293	44	|	6706	anml:crustaceans	1015	1015	37	|	2921223	anml:insects	307	85	13	|	7054	anml:insects	307	151	13	|	n/a	inconclusive	prst:alveolates	59
ptg000002l~~38024796..41478967	3454172	1148885,4329,12360,0,0,0,0	1112624	|	Onthophagus taurus	166361	anml:insects	987227	736186	2871	|	143995	anml:insects	987227	27768	514	|	27687	anml:fishes	25044	10170	258	|	51298	anml:mammals	24460	14525	241	|	n/a	repeat	anml:insects	29
ptg000002l~~41478968..41481990	3023	1128,0,0,0,0,0,0	1759	|	Myotis myotis	51298	anml:mammals	1617	1617	87	|	27687	anml:fishes	706	706	71	|	2607531	anml:molluscs	814	814	46	|						|	n/a	inconclusive	anml:mammals	53
ptg000002l~~41481991..46154835	4672845	1636528,8388,14920,0,0,0,0	1467145	|	Onthophagus taurus	166361	anml:insects	1265707	972251	3661	|	50390	anml:insects	1265707	43958	400	|	27687	anml:fishes	52985	15939	277	|	6465	anml:molluscs	57012	12395	213	|	n/a	repeat	anml:insects	27
ptg000002l~~46154836..46157047	2212	390,0,0,0,0,0,0	1562	|	Chrysochromulina ericina virus	455364	virs:eukaryotic viruses	1205	1205	41	|	166361	anml:insects	406	406	23	|	9365	anml:mammals	151	151	13	|	6687	anml:crustaceans	113	113	13	|	n/a	primary-div(virus)	virs:eukaryotic viruses	54
ptg000002l~~46157048..55858093	9701046	3215440,17881,13360,0,0,0,0	3135828	|	Onthophagus taurus	166361	anml:insects	2771916	2153210	5800	|	217634	anml:insects	2771916	117750	617	|	35525	anml:crustaceans	90926	24751	237	|	27687	anml:fishes	80703	18787	206	|	n/a	repeat	anml:insects	29
ptg000002l~~55858094..55860547	2454	0,0,0,0,0,0,0	1493	|	Armadillidium nasatum	96803	anml:crustaceans	1307	1307	89	|	3847	plnt:plants	186	186	18	|						|						|	n/a	same-kingdom-chimeric	anml:crustaceans	53
ptg000002l~~55860548..61499211	5638664	1877286,8190,3820,0,0,0,0	1722182	|	Onthophagus taurus	166361	anml:insects	1522886	1183873	4147	|	50390	anml:insects	1522886	55175	387	|	27687	anml:fishes	41321	17263	223	|	96803	anml:crustaceans	26175	5369	128	|	n/a	repeat	anml:insects	27
ptg000002l~~61499212..61501607	2396	173,0,0,0,0,0,0	1331	|	Nautilus pompilius	34573	anml:molluscs	1285	1285	57	|	8030	anml:fishes	207	151	15	|	6706	anml:crustaceans	81	81	11	|	27687	anml:fishes	207	62	9	|	n/a	same-kingdom-chimeric	anml:molluscs	54
ptg000002l~~61501608..63590228	2088621	635918,2909,2560,0,0,0,0	646127	|	Onthophagus taurus	166361	anml:insects	546196	416701	2147	|	50390	anml:insects	546196	37592	325	|	27687	anml:fishes	15869	12609	176	|	6728	anml:crustaceans	33224	11302	164	|	n/a	low-coverage	anml:insects	26
ptg000002l~~63590229..63592953	2725	0,0,0,0,0,0,0	1926	|	Nautilus pompilius	34573	anml:molluscs	1907	1907	95	|	166361	anml:insects	399	288	19	|	7029	anml:insects	399	111	12	|						|	n/a	same-kingdom-chimeric	anml:molluscs	70
ptg000002l~~63592954..84502760	20909807	6813687,37171,18680,0,0,0,0	6381023	|	Onthophagus taurus	166361	anml:insects	5596722	4233099	7744	|	217634	anml:insects	5596722	224817	902	|	27687	anml:fishes	149501	54396	442	|	51298	anml:mammals	101702	30930	340	|	n/a	repeat	anml:insects	27
ptg000002l~~84502761..84504905	2145	0,0,300,0,0,0,0	2078	|	Carya illinoinensis	32201	plnt:plants	1819	1241	41	|	1729975	anml:nematodes	682	682	35	|	94328	plnt:plants	1819	578	34	|	2743191	anml:echinoderms	745	745	31	|	n/a	contaminant(div)	plnt:plants	85
ptg000002l~~84504906..85000759	495854	173049,656,600,0,0,0,0	173388	|	Onthophagus taurus	166361	anml:insects	155196	104220	908	|	191418	anml:insects	155196	4068	237	|	38727	plnt:plants	8091	3211	91	|	8496	anml:reptiles	1673	917	79	|	n/a	repeat	anml:insects	31
ptg000002l~~85000760..85004308	3549	0,0,0,0,0,0,0	3330	|	Pseudocohnilembus persalinus	266149	prst:alveolates	2138	1969	52	|	166361	anml:insects	1074	649	29	|	13397	anml:fishes	409	409	24	|	7113	anml:insects	1074	332	20	|	n/a	inconclusive	prst:alveolates	60
ptg000002l~~85004309..96307345	11303037	4377855,21544,14000,0,0,0,0	3403938	|	Onthophagus taurus	166361	anml:insects	2985364	2179016	4554	|	224129	anml:insects	2985364	91391	694	|	27687	anml:fishes	114611	34395	369	|	51298	anml:mammals	58273	13761	255	|	n/a	repeat	anml:insects	26
ptg000002l~~96307346..96314267	6922	160,0,0,0,0,0,0	6251	|	Encephalitozoon romaleae	1178016	fung:microsporidians	6251	5517	149	|	907965	fung:microsporidians	6251	5430	149	|	51683	plnt:green algae	463	463	31	|	166361	anml:insects	212	128	15	|	n/a	contaminant(div)	fung:microsporidians	90
ptg000002l~~96314268..103653785	7339518	3582013,15695,9140,0,0,0,0	2047933	|	Onthophagus taurus	166361	anml:insects	1786458	1270611	3239	|	50390	anml:insects	1786458	76231	511	|	27687	anml:fishes	70861	25811	277	|	2943436	anml:tardigrades	3925	3925	180	|	n/a	repeat	anml:insects	24
ptg000002l~~103653786..103656602	2817	0,0,0,0,0,0,0	2801	|	Encephalitozoon cuniculi	284813	fung:microsporidians	2791	2762	109	|	907965	fung:microsporidians	2791	2768	105	|	2838735	prok:CFB group bacteria	352	239	23	|	50390	anml:insects	603	499	23	|	n/a	contaminant(div)	fung:microsporidians	99
ptg000002l~~103656603..107392649	3736047	1688734,8862,4200,0,0,0,0	1208889	|	Onthophagus taurus	166361	anml:insects	1042536	738298	2510	|	217634	anml:insects	1042536	31009	404	|	3818	plnt:plants	60986	41291	259	|	27687	anml:fishes	27328	8288	233	|	n/a	repeat	anml:insects	28
ptg000002l~~107392650..107397378	4729	330,0,0,0,0,0,0	3578	|	Arachis hypogaea	3818	plnt:plants	3131	3131	65	|	166361	anml:insects	532	469	25	|	2817044	anml:insects	532	215	18	|	8010	anml:fishes	167	167	13	|	n/a	contaminant(div)	plnt:plants	66
ptg000002l~~107397379..112262189	4864811	2708236,277998,960,0,0,0,0	943954	|	Onthophagus taurus	166361	anml:insects	842662	618816	2198	|	7445	anml:insects	842662	6303	317	|	27687	anml:fishes	18517	7703	193	|	72036	anml:crustaceans	18340	8285	137	|	n/a	repeat	anml:insects	17
ptg000003l~~1..3968597	3968597	3234253,472754,1280,0,0,0,0	120868	|	Onthophagus taurus	166361	anml:insects	101497	84897	811	|	7054	anml:insects	101497	6693	147	|	392764	anml:rotifers	3463	3232	91	|	2762512	anml:rotifers	3463	1368	86	|	n/a	repeat	anml:insects	3
ptg000003l~~3968598..3970820	2223	0,0,0,0,0,0,0	1821	|	Erpetoichthys calabaricus	27687	anml:fishes	1821	1821	74	|						|						|						|	n/a	inconclusive	anml:fishes	82
ptg000003l~~3970821..7896643	3925823	1173789,8335,6780,0,0,0,0	1162753	|	Onthophagus taurus	166361	anml:insects	1007575	745852	2991	|	217634	anml:insects	1007575	47806	407	|	27687	anml:fishes	40164	12150	220	|	72036	anml:crustaceans	42415	7517	158	|	n/a	repeat	anml:insects	26
ptg000003l~~7896644..7898794	2151	0,0,0,0,0,0,0	1848	|	Echinops telfairi	9371	anml:mammals	1544	1544	101	|	125878	anml:amphibians	1735	1581	96	|	8407	anml:amphibians	1735	1014	57	|						|	n/a	inconclusive	anml:mammals	72
ptg000003l~~7898795..11407389	3508595	1428405,8337,10300,0,0,0,0	1026582	|	Onthophagus taurus	166361	anml:insects	890112	642701	2620	|	50390	anml:insects	890112	63729	448	|	51298	anml:mammals	16819	10931	234	|	27687	anml:fishes	40164	16083	228	|	n/a	repeat	anml:insects	25
ptg000003l~~11407390..11409806	2417	1156,0,0,0,0,0,0	2383	|	Arachnopeziza araneosa	2259763	fung:ascomycetes	2383	2383	61	|	13397	anml:fishes	326	326	20	|						|						|	n/a	inconclusive	fung:ascomycetes	99
ptg000003l~~11409807..14181373	2771567	960452,4286,4640,0,0,0,0	817209	|	Onthophagus taurus	166361	anml:insects	697985	529900	2611	|	7054	anml:insects	697985	27477	300	|	6579	anml:molluscs	41582	13059	135	|	27687	anml:fishes	24585	8286	134	|	n/a	repeat	anml:insects	25
ptg000003l~~14181374..14183868	2495	232,0,0,0,0,0,0	2495	|	Echinops telfairi	9371	anml:mammals	1471	1471	102	|	610380	anml:insects	1192	967	98	|	411798	anml:insects	1192	780	97	|	125878	anml:amphibians	1541	1311	95	|	n/a	primary-div	anml:insects	48
ptg000003l~~14183869..14656383	472515	195171,800,3500,0,0,0,0	151239	|	Onthophagus taurus	166361	anml:insects	124949	92750	894	|	170555	anml:insects	124949	6675	319	|	35005	anml:reptiles	6608	6392	153	|	3818	plnt:plants	9420	8473	112	|	n/a	repeat	anml:insects	26
ptg000003l~~14656384..14658491	2108	274,0,0,0,0,0,0	1475	|	Arachis hypogaea	3818	plnt:plants	1422	1422	49	|	390379	anml:fishes	91	91	10	|						|						|	n/a	inconclusive	plnt:plants	67
ptg000003l~~14658492..15076595	418104	185224,1004,0,0,0,0,0	106093	|	Onthophagus taurus	166361	anml:insects	88346	63883	820	|	7375	anml:insects	88346	4550	146	|	3818	plnt:plants	8841	8841	116	|	96803	anml:crustaceans	3781	1848	78	|	n/a	repeat	anml:insects	21
ptg000003l~~15076596..15078617	2022	185,0,0,0,0,0,0	1950	|	Arachis hypogaea	3818	plnt:plants	1950	1950	57	|	9305	anml:marsupials	243	243	21	|						|						|	n/a	contaminant(div)	plnt:plants	96
ptg000003l~~15078618..15230281	151664	39061,245,0,0,0,0,0	61026	|	Onthophagus taurus	166361	anml:insects	41668	31206	687	|	217634	anml:insects	41668	7387	142	|	3818	plnt:plants	8322	4408	87	|	2767002	fung:chytrids	5605	5605	86	|	n/a	low-coverage	anml:insects	27
ptg000003l~~15230282..15235164	4883	0,0,0,0,0,0,0	4411	|	Wolbachia endosymbiont (group A) of Andrena hattorfiana	2953977	prok:a-proteobacteria	4399	4109	422	|	2954056	prok:a-proteobacteria	4399	3933	422	|	6293	anml:nematodes	1848	1681	124	|	2795564	anml:insects	995	995	102	|	n/a	contaminant(div)	prok:a-proteobacteria	90
ptg000003l~~15235165..19952907	4717743	1612081,8113,2060,0,0,0,0	1241303	|	Onthophagus taurus	166361	anml:insects	1038992	810532	3531	|	156304	anml:insects	1038992	4408	365	|	27687	anml:fishes	42890	13573	184	|	31234	anml:nematodes	32339	9288	111	|	n/a	repeat	anml:insects	22
ptg000003l~~19952908..19955198	2291	593,0,0,0,0,0,0	2165	|	Caenorhabditis remanei	31234	anml:nematodes	1799	1799	59	|	4072	plnt:plants	599	506	25	|	38942	plnt:plants	599	530	25	|	763278	anml:insects	177	177	15	|	n/a	same-kingdom-chimeric	anml:nematodes	79
ptg000003l~~19955199..21678523	1723325	687042,3942,1460,0,0,0,0	484552	|	Onthophagus taurus	166361	anml:insects	424627	305873	1716	|	202533	anml:insects	424627	17788	331	|	260995	anml:amphibians	15049	9117	149	|	51298	anml:mammals	6249	3852	137	|	n/a	repeat	anml:insects	25
ptg000003l~~21678524..21680552	2029	0,0,300,0,0,0,0	1584	|	Eriocheir sinensis	95602	anml:crustaceans	1172	1038	42	|	1928728	prst:cercozoans	625	625	38	|	88015	anml:crustaceans	1172	807	31	|	34506	anml:nematodes	523	523	29	|	n/a	same-kingdom-chimeric	anml:crustaceans	58
